restaurant_name,restaurant_url,restaurant_link,original_location,country,region,province,city,address,vegetarian_friendly,vegan_options,gluten_free,cuisines,popularity_detailed,popularity_generic,price_level,price_range,avg_rating,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
144 ON THE HILL RESTAURANT & BAR,https://www.tripadvisor.co.uk/Restaurant_Review-g191301-d733815,g191301-d733815,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Richmond""]",England,Greater London,,Richmond,"144-150 Richmond Hill Richmond HIll, Richmond TW10 6RW England",true,false,true,"European, British",#53 of 117 Restaurants in Richmond,#103 of 280 places to eat in Richmond,€€-€€€,€13-€50,4,84,36,7,10,15,4,4,4,3.5,"rosemary fries, beef brisket, prawn cocktail, cakes and scones, three course meal"
4 Locos Argentine Steakhouse,https://www.tripadvisor.co.uk/Restaurant_Review-g2536732-d14976947,g2536732-d14976947,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Purley""]",England,Greater London,,Purley,"6-8 Tudor Court- Russell Hill Road, Purley CR8 2LA England",true,false,true,"Steakhouse, Argentinian",#1 of 33 Restaurants in Purley,#1 of 50 places to eat in Purley,€€-€€€,,5,120,9,6,1,1,5,5,4.5,,"steak, empanadas, squid starter, salad, ribs"
A Cena,https://www.tripadvisor.co.uk/Restaurant_Review-g528819-d730387,g528819-d730387,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Twickenham""]",England,Greater London,,Twickenham,"418 Richmond Road, Twickenham TW1 2EB England",true,true,true,"Italian, European",#15 of 138 Restaurants in Twickenham,#15 of 174 places to eat in Twickenham,€€-€€€,€12-€58,4.5,214,72,42,10,14,4.5,4.5,4,4,"hake, fried cauliflower, courgette flowers, tiramisu, sea bass"
A Mano Coffee Bar and Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g1934185-d15183514,g1934185-d15183514,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Bromley"", ""Orpington""]",England,Greater London,Bromley,Orpington,"286-290 High Street, Orpington, Bromley BR6 0ND England",true,true,true,"Italian, Pizza, British, European",#11 of 117 Restaurants in Orpington,#12 of 168 places to eat in Orpington,€€-€€€,€8-€21,4.5,97,31,8,5,2,4.5,4.5,4.5,,"pasta, eggs benedict, burger, tiramisu, garlic bread"
ASK Italian - Beckenham,https://www.tripadvisor.co.uk/Restaurant_Review-g2549055-d2043267,g2549055-d2043267,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Beckenham""]",England,Greater London,,Beckenham,"2 Bromley Road Ground Floor, Beckenham BR3 5JE England",true,true,true,"Italian, Pizza",#4 of 88 Restaurants in Beckenham,#4 of 109 places to eat in Beckenham,€€-€€€,€6-€11,4.5,274,57,32,22,13,4,4,3.5,3,"pizza, bruschetta, his team, food was great, lovely meal"
ASK Italian - Northwood,https://www.tripadvisor.co.uk/Restaurant_Review-g1999999-d784310,g1999999-d784310,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Northwood""]",England,Greater London,,Northwood,"35A Green Lane, Northwood HA6 2PX England",true,false,true,"Italian, Pizza",#20 of 44 Restaurants in Northwood,#21 of 52 places to eat in Northwood,€€-€€€,€8-€15,3.5,41,57,32,37,25,3.5,3,3,3,
ASK Italian - Twickenham,https://www.tripadvisor.co.uk/Restaurant_Review-g528819-d730389,g528819-d730389,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Twickenham""]",England,Greater London,,Twickenham,"58/60/62 The Green, Twickenham TW2 5AB England",true,true,true,"Italian, Pizza",#41 of 138 Restaurants in Twickenham,#44 of 174 places to eat in Twickenham,€€-€€€,€8-€15,4,112,35,24,19,17,4,4,4,3,
ASK Italian - Uxbridge,https://www.tripadvisor.co.uk/Restaurant_Review-g1646049-d1050719,g1646049-d1050719,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Uxbridge""]",England,Greater London,,Uxbridge,"139-140 High Street, Uxbridge UB8 1JX England",true,true,true,"Italian, Pizza",#22 of 99 Restaurants in Uxbridge,#23 of 150 places to eat in Uxbridge,€€-€€€,€8-€15,4,84,66,51,17,19,4,4,3.5,3.5,
Abercorn Arms,https://www.tripadvisor.co.uk/Restaurant_Review-g528818-d4327751,g528818-d4327751,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Richmond"", ""Teddington""]",England,Greater London,Richmond,Teddington,"Church Road, Teddington, Richmond England",false,false,false,"Bar, British, Pub",#27 of 51 Restaurants in Teddington,#31 of 66 places to eat in Teddington,€,,4.5,43,4,5,0,5,4.5,4,4,4.5,
Abshar,https://www.tripadvisor.co.uk/Restaurant_Review-g504167-d7389040,g504167-d7389040,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Croydon""]",England,Greater London,,Croydon,"67 South End, Croydon CR0 1BF England",true,false,false,"Middle Eastern, Persian",#320 of 340 Restaurants in Croydon,#388 of 490 places to eat in Croydon,€€-€€€,,3.5,74,43,20,15,36,4,3.5,4,,"aubergine starter, rice, kebab, joojeh, fresh naan"
